Number Of Vehicles Stopped - Horizontal,Total Waiting Time - Horizontal,Carbon Emissions Released - Horizontal,Number of Vehicles Predicted at Traffic Light - Horizontal,Number of Cars - Horizontal,Number of Buses - Horizontal,Number of Trucks - Horizontal,Number of Motorcycles - Horizontal,Number of Bicycles - Horizontal,Number Of Vehicles Stopped - Vertical,Total Waiting Time - Vertical,Carbon Emissions Released - Vertical,Number of Vehicles Predicted at Traffic Light - Vertical,Number of Cars - Vertical,Number of Buses - Vertical,Number of Trucks - Vertical,Number of Motorcycles - Vertical,Number of Bicycles - Vertical,Traffic Phase
1,1.0,21270.007725193253,3,5,1,1,0,0,13,174.0,36225.875422953664,0,9,2,1,0,1,0

2,3.0,35474.79324691256,3,6,1,1,0,0,11,153.0,36489.10481621772,0,9,2,1,0,1,0

2,5.0,12980.474990981658,1,6,1,1,0,0,9,135.0,38134.25300293919,1,9,2,1,0,1,0

3,8.0,13207.210945394765,0,7,1,1,0,0,7,117.0,32845.99532639712,0,7,2,1,0,1,0

3,11.0,12341.83834894952,0,7,1,1,0,0,6,101.0,38050.668425088,1,7,2,1,0,1,0

4,15.0,18241.057635986952,0,7,1,1,0,0,5,85.0,41408.76785134297,1,7,2,1,0,1,0

5,20.0,22121.08314404721,0,7,1,1,1,0,4,69.0,34700.1589319357,1,6,2,0,0,1,0

6,26.0,24971.400555291715,0,7,1,1,1,0,3,52.0,37395.86508919989,1,6,2,0,0,1,0

6,32.0,27703.884965063095,0,8,1,1,1,0,2,35.0,35035.95303881076,1,6,2,0,0,1,0

7,39.0,23038.380444497983,0,8,1,1,1,0,1,18.0,40245.139197031014,1,6,2,0,0,1,0

8,47.0,25574.39157578654,0,8,1,1,1,0,1,19.0,16265.498003003266,0,5,1,0,0,1,0

8,55.0,28807.752757521943,0,8,1,2,1,0,0,0.0,20667.713567352774,1,5,1,0,0,1,0

9,64.0,26916.578216787748,0,8,1,2,1,0,0,0.0,18191.527249168525,1,5,1,0,0,1,0

9,73.0,29443.766442806773,0,8,1,2,1,0,0,0.0,17638.859592554643,1,4,1,0,0,1,0

10,83.0,29483.65065878256,0,8,1,2,1,0,0,0.0,18128.549997445134,3,4,1,0,0,1,0

11,94.0,31459.314020924376,0,8,1,2,1,0,0,0.0,19616.97570114419,2,4,1,0,0,0,0

11,105.0,31493.625782726267,0,8,1,2,1,0,0,0.0,23222.852086976134,4,4,1,0,0,0,0

12,117.0,31503.702677852285,0,8,1,2,1,0,0,0.0,20966.916301593414,3,3,1,0,0,0,0

12,129.0,31506.252206836354,0,8,1,2,1,0,0,0.0,13322.880900661421,4,3,1,0,0,0,0

12,141.0,31507.41775539005,0,8,1,2,1,0,0,0.0,13871.088396243962,4,3,1,0,0,0,0

12,153.0,31507.84599432409,0,8,1,2,1,0,0,0.0,3100.1939051058034,3,2,1,0,0,0,0

12,165.0,31508.016932787705,0,8,1,2,1,0,0,0.0,14938.335637373653,3,2,1,0,0,0,0

12,177.0,31508.028819437575,0,8,1,2,1,0,0,0.0,6721.355375137215,3,2,1,0,0,0,1

12,189.0,31508.035213953583,0,8,1,2,1,0,0,0.0,17400.812872090257,2,2,1,0,0,0,1

12,201.0,31508.066742313185,0,8,1,2,1,0,1,1.0,10983.449142925427,1,2,1,0,0,0,1

12,213.0,31508.03594346238,0,8,1,2,1,0,1,2.0,5024.098876610742,0,2,1,0,0,0,1

12,225.0,31508.04992457123,0,8,1,2,1,0,2,4.0,9086.955137092835,0,2,1,0,0,0,1

12,237.0,31508.05555555556,0,8,1,2,1,0,2,6.0,10591.978459026124,0,2,1,0,0,0,1

11,220.0,28883.333333333336,0,7,1,2,1,0,2,8.0,10620.18735242739,0,2,1,0,0,0,1

10,202.0,29188.454848815152,0,7,1,2,1,0,3,11.0,10535.809876178108,0,2,1,0,0,0,1

9,184.0,29074.00961985378,0,7,1,2,1,0,3,14.0,10535.555555555557,0,2,1,0,0,0,1

8,166.0,31926.566844496483,0,7,1,2,1,0,3,17.0,10535.555555555557,0,2,1,0,0,0,1

